"setting","version","epoch","Y_0","Y"
1,1,2,NA,NA
1,1,7,NA,NA
1,1,11,NA,NA
1,1,12,NA,NA
1,1,19,NA,NA
1,1,15,NA,NA
1,1,9,NA,NA
1,1,14,NA,NA
1,1,1,NA,NA
1,1,20,NA,NA
1,1,13,NA,NA
1,1,4,NA,NA
1,1,6,NA,NA
1,1,10,NA,NA
1,1,3,NA,NA
1,1,18,NA,NA
1,1,17,NA,NA
1,2,2,NA,NA
1,2,7,NA,NA
1,2,12,NA,NA
1,2,14,NA,NA
1,2,19,NA,NA
1,2,11,NA,NA
1,2,15,NA,NA
1,2,9,NA,NA
1,2,1,NA,NA
1,2,16,NA,NA
1,2,20,NA,NA
1,2,13,NA,NA
1,2,10,NA,NA
1,2,6,NA,NA
1,2,8,NA,NA
1,3,7,NA,NA
1,2,3,NA,NA
1,2,5,NA,NA
1,2,18,NA,NA
1,3,2,NA,NA
1,2,17,NA,NA
1,3,12,NA,NA
1,3,14,NA,NA
1,3,19,NA,NA
1,3,15,NA,NA
1,3,10,NA,NA
1,3,9,NA,NA
1,3,11,NA,NA
1,3,20,NA,NA
1,3,1,NA,NA
1,3,6,NA,NA
1,3,17,NA,NA
1,3,8,NA,NA
1,3,5,NA,NA
1,3,13,NA,NA
1,3,18,NA,NA
1,3,16,NA,NA
1,3,3,NA,NA
2,1,7,0.13759119587,0.0618932038834951
2,1,5,0.13239259263,0.0455097087378641
2,1,9,0.13578360003,0.051452784503632
2,1,2,0.13853433438,0.0403614457831325
2,1,13,0.13903427759,0.0578313253012048
2,1,1,0.14002912148,0.0612980769230769
2,1,12,0.14052325235,0.0529761904761905
2,1,4,0.14611286345,0.0614657210401891
2,1,8,0.13730576414,0.0543735224586288
2,1,19,0.13604569475,0.0562796208530806
2,1,3,0.13980596265,0.0658823529411765
2,1,6,0.1337177945,0.058372641509434
2,1,10,0.13224185186,0.0491803278688525
2,1,11,0.13562982275,0.06002331002331
2,1,14,0.13615549087,0.0580046403712297
2,1,16,0.14404521613,0.0619212962962963
2,1,15,0.13395185273,0.0599078341013825
2,1,18,0.13168200963,0.0593607305936073
2,1,17,0.13456075419,0.0546171171171171
2,1,20,0.13923117895,0.052572706935123
2,2,7,0.1389266094,0.0731132075471698
2,2,5,0.13269804032,0.0483128834355828
2,2,1,0.14048745372,0.0574534161490683
2,2,13,0.13805226889,0.0605590062111801
2,2,6,0.13252824709,0.0590490797546012
2,2,2,0.13859201302,0.0422848664688427
2,2,4,0.14549617037,0.0659090909090909
2,2,12,0.14121775462,0.0514925373134328
2,2,9,0.13561521015,0.0606508875739645
2,2,10,0.13296067606,0.048048048048048
2,2,8,0.13814000549,0.0626843657817109
2,2,19,0.13696451155,0.0570175438596491
2,2,3,0.1390069353,0.0782163742690059
2,2,14,0.13781216365,0.0595588235294118
2,2,11,0.13572564607,0.053314121037464
2,2,16,0.14440748735,0.0688405797101449
2,2,15,0.13436372491,0.0702898550724638
2,2,17,0.13487177302,0.0652492668621701
2,2,18,0.13225258975,0.0630252100840336
2,2,20,0.14099502212,0.0593922651933702
2,3,7,0.14113162467,0.0858208955223881
2,3,1,0.14305327518,0.0609137055837563
2,3,13,0.14007843795,0.0841584158415842
2,3,5,0.13382259986,0.0452380952380952
2,3,9,0.13799102793,0.0544554455445545
2,3,4,0.146897707,0.0716019417475728
2,3,10,0.13387535675,0.0621890547263682
2,3,6,0.13330790297,0.0569767441860465
2,3,3,0.13867362427,0.0789473684210526
2,3,2,0.14012121853,0.0484234234234234
2,3,12,0.14010471628,0.0665938864628821
2,3,14,0.14156182994,0.0751173708920188
2,3,8,0.14409541597,0.0751121076233184
2,3,15,0.13331609075,0.0686274509803922
2,3,19,0.13863141735,0.0685840707964602
2,3,16,0.15188176448,0.0848623853211009
2,3,17,0.13532492352,0.0688073394495413
2,3,11,0.13508838978,0.0549568965517241
2,3,18,0.13320250195,0.0665938864628821
2,3,20,0.14456956136,0.0709606986899563
3,1,7,0.13953014927,0.0243348076836158
3,1,1,0.14118169987,0.0118115071176471
3,1,5,0.13523882124,0.0253991323780488
3,1,13,0.13900489283,0.0180638031318681
3,1,9,0.14090006955,0.021535473372093
3,1,4,0.15267405929,0.0259248154098361
3,1,10,0.13382741892,0.0187358209883721
3,1,6,0.13455368315,0.0250728620689655
3,1,2,0.14015036108,0.0183588601734104
3,1,14,0.14182542643,0.0316936502873563
3,1,12,0.14772630444,0.030934886519337
3,1,3,0.14642030446,0.0186199304188482
3,1,8,0.13966643396,0.0145701531693989
3,1,15,0.13645569738,0.0202337183060109
3,1,19,0.1371627967,0.0121000368085106
3,1,17,0.13788174428,0.0218932269142857
3,1,11,0.14017367284,0.0180612736781609
3,1,16,0.1482610758,0.0335576770526316
3,1,18,0.13390961224,0.0271054581868132
3,1,20,0.14161539799,0.0243089666483516
3,2,1,0.13984538583,0.014185168996139
3,2,7,0.13851606301,0.0264894751470588
3,2,5,0.13339027206,0.0233971917241379
3,2,9,0.13866066118,0.0169921013962264
3,2,13,0.13883192146,0.0176392608550186
3,2,6,0.1333923986,0.0242606969201521
3,2,4,0.14657936653,0.0196146414338235
3,2,14,0.140573341,0.0248283503875969
3,2,2,0.14050749893,0.0189680828624535
3,2,10,0.13238300034,0.0206737021691176
3,2,12,0.14128660768,0.015792147593985
3,2,17,0.13471663525,0.0193763157933579
3,2,11,0.13926000518,0.0308528212075472
3,2,3,0.14472296019,0.0296016436879433
3,2,8,0.13988433886,0.0159292348201439
3,2,19,0.13690966939,0.0075220903202847
3,2,15,0.13335104209,0.0164260575539568
3,2,16,0.14137030048,0.0143479841522491
3,2,18,0.13309153871,0.0200205301428571
3,2,20,0.13932931458,0.0144175919791667
3,3,1,0.1393038929,0.0119813424615385
3,3,7,0.13780168751,0.0188498021119593
3,3,5,0.13255826878,0.0119577089215686
3,3,9,0.13742213764,0.0207446151150895
3,3,13,0.13739063708,0.008790338808933
3,3,14,0.13742498432,0.0147567639386189
3,3,2,0.13931796202,0.00690337604113111
3,3,6,0.13185985916,0.0145105929219144
3,3,4,0.1473481494,0.0111910501456311
3,3,12,0.14110583007,0.0104324135087719
3,3,10,0.13175662602,0.010156444744898
3,3,11,0.13606677115,0.0133726917105263
3,3,17,0.13472191087,0.015576141975
3,3,19,0.13621678419,0.01227442575
3,3,3,0.14030120885,0.0135479196410256
3,3,8,0.13793694398,0.00811593378712871
3,3,15,0.13183806904,0.00857832745762712
3,3,18,0.13153177644,0.0112521697542998
3,3,16,0.14133989213,0.0106168640441176
3,3,20,0.13860217503,0.0130811358894231
4,1,1,0.1394854355,0.02205486308
4,1,7,0.13923361054,0.02603032488
4,1,5,0.13232809647,0.01871804706
4,1,9,0.13514544383,0.0218032692
4,1,14,0.13667740379,0.02442072056
4,1,13,0.13836817831,0.0247303125
4,1,11,0.13548295762,0.02375453588
4,1,4,0.14704034219,0.02172129652
4,1,12,0.13982849731,0.020985603
4,1,6,0.13251035293,0.0167207871
4,1,2,0.13869556794,0.01764146598
4,1,17,0.13436716106,0.02228234678
4,1,19,0.13581159644,0.02095187038
4,1,10,0.13275057114,0.01536704492
4,1,18,0.13321202674,0.02278863906
4,1,8,0.13783929969,0.02094475538
4,1,3,0.13927210416,0.02010981528
4,1,15,0.13121137326,0.02025659686
4,1,16,0.14076899184,0.0202234594
4,1,20,0.13856574702,0.01318931672
5,1,1,0.13934517264,0.02054519058
5,1,7,0.13890680903,0.0227980043
5,1,5,0.13201162648,0.01552585968
5,1,14,0.13677653387,0.02249557566
5,1,9,0.13524921768,0.0208278323
5,1,11,0.13536055274,0.02272899232
5,1,13,0.13794763982,0.02289268042
5,1,12,0.13985718377,0.01810984038
5,1,4,0.14678878687,0.02063414366
5,1,17,0.1342590795,0.01928550156
5,1,19,0.13599571735,0.01649264356
5,1,6,0.13201983032,0.0146776768
5,1,2,0.13877603772,0.0144722124
5,1,18,0.1330553587,0.02146646954
5,1,10,0.13223037215,0.01617195492
5,1,3,0.1390313388,0.0199097194
5,1,8,0.13777364593,0.01922281632
5,1,15,0.13119590309,0.01846422332
5,1,16,0.14032669257,0.01683475222
5,1,20,0.13823268627,0.01155175432
5,2,1,0.13906287831,0.01902490964
5,2,7,0.13871545962,0.02035435132
5,2,5,0.13212716765,0.01319706176
5,2,14,0.13681850706,0.02187857408
5,2,9,0.1351465437,0.01642607752
5,2,11,0.13547250611,0.0202337361
5,2,13,0.13814401817,0.02180112108
5,2,12,0.14002383868,0.01653072028
5,2,4,0.14688357534,0.01804422416
5,2,17,0.13438862561,0.02014299328
5,2,19,0.13565553932,0.01244455974
5,2,6,0.13222659601,0.01521886316
5,2,2,0.13874222283,0.01286122356
5,2,18,0.13299049728,0.02019230864
5,2,10,0.13230032369,0.01400548114
5,2,3,0.13885238815,0.0155839502
5,2,8,0.13750811136,0.01715808446
5,2,15,0.13119399129,0.01462097476
5,2,16,0.14044025397,0.0164039463
5,2,20,0.13831409805,0.01128662778
5,3,1,0.13916918417,0.01417249414
1,1,21,NA,NA
1,2,21,NA,NA
1,3,21,NA,NA
5,3,7,0.13862968814,0.01150034748
1,1,22,NA,NA
1,2,22,NA,NA
1,3,22,NA,NA
5,3,5,0.1317273975,0.00680569334
1,1,23,NA,NA
1,2,23,NA,NA
1,3,23,NA,NA
5,3,14,0.13658728631,0.01936107532
1,1,24,NA,NA
1,2,24,NA,NA
1,3,24,NA,NA
5,3,11,0.13559067165,0.01636532872
1,1,25,NA,NA
1,2,25,NA,NA
1,3,25,NA,NA
5,3,9,0.13493513091,0.01344803808
1,1,26,NA,NA
1,2,26,NA,NA
1,3,26,NA,NA
5,3,13,0.13763273274,0.01605101746
1,1,27,NA,NA
1,2,27,NA,NA
1,3,27,NA,NA
5,3,12,0.14022926859,0.0088273176
1,1,28,NA,NA
5,3,4,0.14672198724,0.01035759414
1,2,28,NA,NA
1,3,28,NA,NA
1,1,29,NA,NA
1,2,29,NA,NA
1,3,29,NA,NA
5,3,19,0.13557772988,0.01229047048
1,1,30,NA,NA
5,3,17,0.13456001082,0.01823139672
1,2,30,NA,NA
1,3,30,NA,NA
1,1,31,NA,NA
1,2,31,NA,NA
1,3,31,NA,NA
5,3,6,0.1317782074,0.0112852328
1,1,32,NA,NA
1,2,32,NA,NA
1,3,32,NA,NA
5,3,2,0.13858420162,0.0087018924
1,1,33,NA,NA
1,2,33,NA,NA
1,3,33,NA,NA
5,3,18,0.13281065746,0.01436451092
1,1,34,NA,NA
1,2,34,NA,NA
1,3,34,NA,NA
5,3,8,0.13747000262,0.0122093358
1,1,35,NA,NA
1,2,35,NA,NA
1,3,35,NA,NA
5,3,10,0.13218566833,0.01357876906
5,3,3,0.1387497347,0.01287202814
1,1,36,NA,NA
1,2,36,NA,NA
1,1,37,NA,NA
1,3,36,NA,NA
1,2,37,NA,NA
1,3,37,NA,NA
2,1,21,0.13598176535,0.0475352112676056
5,3,16,0.14039957389,0.00870228436
5,3,15,0.13125093576,0.00945643408
1,1,38,NA,NA
1,1,39,NA,NA
1,2,38,NA,NA
1,3,38,NA,NA
1,2,39,NA,NA
1,3,39,NA,NA
2,1,22,0.13812084028,0.0514354066985646
2,1,23,0.14141081524,0.0736301369863014
5,3,20,0.13835019201,0.01052913324
1,1,40,NA,NA
1,2,40,NA,NA
1,3,40,NA,NA
2,1,24,0.13374247079,0.0635294117647059
2,1,25,0.13670742719,0.0636574074074074
2,1,26,0.13873504725,0.0514018691588785
2,1,27,0.13730509811,0.0516627078384798
2,1,29,0.13994373579,0.0497572815533981
2,1,30,0.14276760134,0.0599273607748184
2,1,28,0.13848361571,0.0609048723897912
2,1,31,0.13620528341,0.0683411214953271
2,1,32,0.13579994229,0.062958435207824
2,1,33,0.13766699358,0.0589285714285714
2,1,34,0.13843752079,0.0707656612529002
2,2,21,0.1365086481,0.05
2,1,36,0.1385799278,0.0598503740648379
2,1,37,0.13522817278,0.0483091787439614
2,1,35,0.13351659375,0.063953488372093
2,2,22,0.1381675377,0.056379821958457
2,2,23,0.14071083079,0.0727665706051873
2,1,39,0.13190440978,0.0545774647887324
2,1,38,0.14261176597,0.0573394495412844
2,2,24,0.13424836827,0.0571216617210683
2,2,25,0.1378452498,0.0673652694610778
2,2,26,0.13923686292,0.0549853372434018
2,2,27,0.13760742367,0.0572100313479624
2,2,29,0.14129245444,0.0482594936708861
2,1,40,0.13761291949,0.0580046403712297
2,2,30,0.1419590651,0.0609939759036145
2,2,28,0.13845228585,0.0619402985074627
2,2,31,0.13675993126,0.0584795321637427
2,3,21,0.13709195236,0.0622065727699531
2,2,32,0.13638170548,0.0675465838509317
2,2,33,0.13831779385,0.0591054313099042
2,3,22,0.14026525599,0.0660377358490566
2,2,34,0.1384696419,0.078757225433526
2,3,23,0.14296699548,0.0674418604651163
2,2,36,0.13802999745,0.0528846153846154
2,2,37,0.13667461607,0.0544478527607362
2,2,35,0.1363310757,0.0699152542372881
2,3,24,0.13462871298,0.0502336448598131
2,2,39,0.13346142191,0.0526706231454006
2,3,29,0.14155631163,0.0615183246073298
2,2,38,0.14200499175,0.0641210374639769
2,3,25,0.13910760385,0.0647727272727273
2,3,26,0.1411281313,0.0671296296296296
2,3,27,0.13752226714,0.0636792452830189
2,3,30,0.14501771184,0.0578703703703704
2,3,28,0.13888234814,0.0783410138248848
2,3,32,0.13776338449,0.0682926829268293
2,3,31,0.13844937257,0.0686936936936937
3,1,21,0.13845870544,0.0231685525274725
2,3,33,0.13943334181,0.0670731707317073
2,2,40,0.14094683185,0.0561538461538462
3,1,22,0.1785612386,0.149496248385417
2,3,34,0.13785572637,0.0773542600896861
3,1,23,0.13991263308,0.0416048769318182
2,3,36,0.14139647368,0.05875
2,3,37,0.13867925414,0.0540865384615385
2,3,35,0.13440273064,0.0698689956331878
2,3,39,0.13403863815,0.0613207547169811
3,1,24,0.13675068095,0.0295403057803468
3,1,29,0.14095779499,0.0254510791428571
2,3,38,0.14532137586,0.0639269406392694
3,1,26,0.14188465513,0.0163110529120879
3,1,25,0.13689859898,0.0223614995652174
3,1,27,0.1399934543,0.0435683248913043
3,1,30,0.14547794188,0.0433711800558659
3,1,28,0.13972312876,0.0308614943085106
3,1,32,0.13695626564,0.0230058254945055
3,1,31,0.1414702503,0.0202696769832402
3,1,33,0.1403816838,0.0112573152272727
2,3,40,0.14071274717,0.0655555555555556
3,1,34,0.13830025769,0.0204703493296089
3,1,36,0.1447926907,0.0314927496
3,1,37,0.13969137214,0.0298206983240223
3,2,21,0.13933100303,0.0202271102517986
3,1,35,0.13555417208,0.043016565
3,1,39,0.13359189117,0.0186391052356021
3,2,22,0.13923912821,0.0256234710877193
3,2,23,0.14045144777,0.0253696145
3,1,38,0.145472881,0.0230870667539267
3,2,24,0.13267634664,0.0172721777307692
3,2,29,0.14139644462,0.0212690270786517
3,1,40,0.14350727195,0.0256556125
3,2,25,0.13647693936,0.0224995105776173
3,2,27,0.1362323515,0.0176417901136364
3,2,26,0.13985290918,0.0134002845360825
3,2,30,0.14627990425,0.0345036994756554
3,2,28,0.13952713237,0.0232158162825279
3,2,32,0.13782678237,0.0288375688768116
3,2,31,0.13815690883,0.0181140154895105
3,2,33,0.1417223783,0.0180089733928571
3,2,34,0.13673384104,0.0210885759925094
3,2,36,0.13886761215,0.0146551542023346
3,2,37,0.13554837742,0.0194657173090909
3,2,35,0.13331042968,0.020034567716263
3,2,39,0.13386501512,0.0203997781443299
3,2,38,0.14202912248,0.0126226794890511
3,2,40,0.13939552529,0.0138501472142857
3,3,21,0.13549551233,0.00945146046341463
3,3,23,0.13914047253,0.0130272696642686
3,3,22,0.13770535108,0.0237676682125604
3,3,24,0.13262031029,0.014007825479798
3,3,29,0.13918521604,0.00734176345177665
3,3,25,0.13520168397,0.0151959143765281
3,3,27,0.13461805,0.0110977486901763
3,3,30,0.1425024563,0.0180855490841584
3,3,26,0.13937969081,0.0143009932116788
3,3,28,0.13879188813,0.00738552122194514
3,3,32,0.13545747376,0.013329804009901
3,3,33,0.13969222305,0.0139429897481108
3,3,31,0.13567036054,0.00896212849382716
3,3,34,0.13588482031,0.00967853899742931
3,3,36,0.13786330766,0.00837748556962025
3,3,37,0.13551231231,0.0177270957425743
3,3,35,0.13212882936,0.010202787097561
3,3,39,0.1315915174,0.0131834882309582
3,3,38,0.14128793154,0.00835926656934307
3,3,40,0.13912239995,0.0126485527819549
4,1,21,0.13485593638,0.02083231208
4,1,24,0.13380743429,0.02392251322
4,1,23,0.13896521315,0.02312670946
4,1,22,0.13679479491,0.02278735186
4,1,29,0.13915770323,0.01786475572
4,1,25,0.13369688591,0.02395476504
4,1,30,0.14094109348,0.02554973548
4,1,27,0.13559296555,0.02261399078
4,1,28,0.13802604397,0.01915195046
4,1,32,0.13585458223,0.02601349748
4,1,26,0.13844974727,0.0201310884
4,1,34,0.13537070787,0.0315421548
4,1,33,0.13930941739,0.02537782672
4,1,36,0.13651916088,0.02846342774
4,1,31,0.13482194583,0.0188868111
4,1,37,0.13579969026,0.01727856758
4,1,35,0.1329354535,0.0235946633
4,1,39,0.13199656738,0.02126663288
4,1,38,0.14056224317,0.02669099866
4,1,40,0.13710783373,0.02117953006
5,1,21,0.13490633828,0.01811763748
5,1,24,0.13397409225,0.02266858656
5,1,23,0.13931888281,0.02157580838
5,1,29,0.13927142798,0.01616483038
5,1,25,0.13373228587,0.02436864316
5,1,22,0.13662917728,0.01965532856
5,1,30,0.14088597583,0.02289982446
5,1,27,0.13553352461,0.0214690606
5,1,36,0.13645838597,0.02531226656
5,1,28,0.13815040714,0.01751606632
5,1,34,0.13531343401,0.02701219538
5,1,32,0.13576023206,0.01948094104
5,1,26,0.13861803257,0.01615528916
