"setting","version","epoch","time"
1,1,2,0.81
1,1,7,0.950000000000001
1,1,11,1.31
1,1,12,1.16
1,1,19,1.36
1,1,15,1.31
1,1,9,1.14
1,1,16,1.33
1,1,14,1.39
1,1,1,1.26
1,1,8,1.32
1,1,20,1.46
1,1,13,1.34
1,1,4,1.25
1,1,6,1.28
1,1,5,1.41
1,1,10,1.29
1,1,3,1.33
1,1,18,1.34
1,1,17,1.41
1,2,2,0.94
1,2,7,0.880000000000001
1,2,12,0.98
1,2,14,1
1,2,19,1.11
1,2,11,1.27
1,2,15,1.17
1,2,9,1.21
1,2,1,1.17
1,2,16,1.2
1,2,20,1.14
1,2,13,1.2
1,2,10,1.11
1,2,6,1.18
1,2,4,1.18
1,2,8,1.26
1,3,7,0.84
1,2,3,1.2
1,2,5,1.22
1,2,18,1.14
1,3,2,1.14
1,2,17,1.11
1,3,12,0.659999999999998
1,3,14,0.709999999999999
1,3,19,0.720000000000001
1,3,15,0.809999999999999
1,3,10,0.779999999999999
1,3,9,0.950000000000001
1,3,11,1.03
1,3,20,0.93
1,3,1,0.970000000000001
1,3,6,0.890000000000001
1,3,17,0.779999999999999
1,3,8,0.9
1,3,5,0.859999999999999
1,3,13,1.01
1,3,18,0.859999999999999
1,3,16,1.09
1,3,3,0.99
2,1,7,650.39
2,1,5,651.56
2,1,9,653.88
2,1,2,655.95
2,1,13,658.92
2,1,1,658.09
2,1,12,665.91
2,1,4,667.32
2,1,8,669.1
2,1,19,670.69
2,1,3,672.71
2,1,6,674
2,1,10,677.03
2,1,11,682.61
2,1,14,684.39
2,1,16,689.33
2,1,15,692.74
2,1,18,697.45
2,1,17,706.45
2,1,20,714.6
2,2,7,512.35
2,2,5,529.03
2,2,1,523.71
2,2,13,525.79
2,2,6,527.17
2,2,2,547.43
2,2,4,537.44
2,2,12,542
2,2,9,552.83
2,2,10,541.56
2,2,8,551.26
2,2,19,554.81
2,2,3,553.06
2,2,14,552.86
2,2,11,566.32
2,2,16,561.5
2,2,15,561.51
2,2,17,554.46
2,2,18,580.94
2,2,20,587.95
2,3,7,327.93
2,3,1,322.1
2,3,13,330.02
2,3,5,343.28
2,3,9,330.25
2,3,4,336.05
2,3,10,328.64
2,3,6,349.82
2,3,3,339.43
2,3,2,364.27
2,3,12,372.76
2,3,14,345.34
2,3,8,363.56
2,3,15,332.2
2,3,19,365.78
2,3,16,357
2,3,17,356.25
2,3,11,377.82
2,3,18,374.22
2,3,20,371.36
3,1,7,367.95
3,1,1,357.04
3,1,5,355.67
3,1,13,379.82
3,1,9,366.62
3,1,4,378.97
3,1,10,373.31
3,1,6,372.92
3,1,2,371.06
3,1,14,366.89
3,1,12,374.47
3,1,3,389.89
3,1,8,385.12
3,1,15,385.62
3,1,19,384.59
3,1,17,370.28
3,1,11,368.1
3,1,16,393.15
3,1,18,382.01
3,1,20,390.78
3,2,1,570.75
3,2,7,588.99
3,2,5,582.64
3,2,9,581.98
3,2,13,590.7
3,2,6,584.61
3,2,4,595.55
3,2,14,574.42
3,2,2,589.25
3,2,10,605.89
3,2,12,586.07
3,2,17,587.07
3,2,11,581.81
3,2,3,622.09
3,2,8,610.72
3,2,19,605.58
3,2,15,619.48
3,2,16,625.58
3,2,18,604.77
3,2,20,631.13
3,3,1,1094.01
3,3,7,1113.43
3,3,5,1115.77
3,3,9,1133.92
3,3,13,1157.06
3,3,14,1126
3,3,2,1139.5
3,3,6,1158.34
3,3,4,1157.14
3,3,12,1149
3,3,10,1155.66
3,3,11,1115.98
3,3,17,1148.35
3,3,19,1144
3,3,3,1166.36
3,3,8,1167.89
3,3,15,1200.57
3,3,18,1161.57
3,3,16,1198.89
3,3,20,1220.09
4,1,1,1404.91
4,1,7,1418.95
4,1,5,1420.44
4,1,9,1473.72
4,1,14,1458.95
4,1,13,1475.78
4,1,11,1452.88
4,1,4,1477.4
4,1,12,1469.36
4,1,6,1496.87
4,1,2,1504.84
4,1,17,1470.1
4,1,19,1471.12
4,1,10,1546.35
4,1,18,1486
4,1,8,1534.41
4,1,3,1535.38
4,1,15,1543.16
4,1,16,1537.75
4,1,20,1585.48
5,1,1,1544.5
5,1,7,1560.62
5,1,5,1557.28
5,1,14,1593.23
5,1,9,1601.72
5,1,11,1584.55
5,1,13,1609.24
5,1,12,1603.19
5,1,4,1609.63
5,1,17,1603.78
5,1,19,1601.97
5,1,6,1637.05
5,1,2,1635.59
5,1,18,1612.96
5,1,10,1681.04
5,1,3,1666.42
5,1,8,1670.55
5,1,15,1674.95
5,1,16,1667.75
5,1,20,1714.45
5,2,1,1592.09
5,2,7,1607.72
5,2,5,1608.27
5,2,14,1645.48
5,2,9,1655.83
5,2,11,1636.35
5,2,13,1668.9
5,2,12,1662.05
5,2,4,1663.86
5,2,17,1652.38
5,2,19,1653.84
5,2,6,1686.97
5,2,2,1697.24
5,2,18,1669.59
5,2,10,1741.07
5,2,3,1734.37
5,2,8,1728.95
5,2,15,1739.15
5,2,16,1727.21
5,2,20,1785.8
5,3,1,1855.31
1,1,21,1.93999999999869
1,2,21,1.42999999999847
1,3,21,1.05999999999949
5,3,7,1880.67
1,1,22,1.47000000000116
1,2,22,1.14000000000124
1,3,22,1.30000000000109
5,3,5,1867.3
1,1,23,1.27999999999884
1,2,23,1.46999999999935
1,3,23,0.969999999999345
5,3,14,1918.13
1,1,24,1.33999999999833
1,2,24,1.53999999999905
1,3,24,1.02999999999884
5,3,11,1913.87
1,1,25,1.85000000000036
1,2,25,1.17000000000007
1,3,25,1.38999999999942
5,3,9,1937.08
1,1,26,1.8799999999992
1,2,26,1.27000000000044
1,3,26,1.19999999999891
5,3,13,1946.02
1,1,27,1.72999999999956
1,2,27,1.19000000000051
1,3,27,0.790000000000873
5,3,12,1940.34
1,1,28,1.38000000000102
5,3,4,1940.64
1,2,28,1.26000000000022
1,3,28,1.25
1,1,29,1.44000000000051
1,2,29,1.11000000000058
1,3,29,0.979999999999563
5,3,19,1925.13
1,1,30,1.51999999999862
5,3,17,1936.45
1,2,30,1.60999999999876
1,3,30,0.969999999999345
1,1,31,1.54000000000087
1,2,31,1.48000000000138
1,3,31,1.17000000000007
5,3,6,1971.29
1,1,32,1.39000000000124
1,2,32,1.22000000000116
1,3,32,1.19000000000051
5,3,2,1981.97
1,1,33,1.40999999999985
1,2,33,1.34000000000015
1,3,33,1.15000000000146
5,3,18,1952.38
1,1,34,1.60000000000036
1,2,34,1.3799999999992
1,3,34,1.19999999999891
5,3,8,2010.5
1,1,35,1.38999999999942
1,2,35,1.40000000000146
1,3,35,1.19999999999891
5,3,10,2040.6
1,1,36,1.40000000000146
5,3,3,2024.05
1,2,36,1.19000000000051
1,1,37,1.38999999999942
1,3,36,1.30999999999949
1,2,37,1.21999999999935
1,3,37,1.35000000000036
2,1,21,677.24
5,3,16,2028.98
5,3,15,2044.06
1,1,38,1.48999999999978
1,1,39,1.52999999999884
1,2,38,1.25
1,3,38,1.09999999999854
1,2,39,1.43999999999869
1,3,39,1.56999999999971
2,1,22,667.25
2,1,23,696.790000000001
5,3,20,2096.61
1,1,40,1.71999999999935
1,2,40,1.89000000000124
1,3,40,1.09000000000015
2,1,24,687.65
2,1,25,705.360000000001
2,1,26,696.890000000001
2,1,27,685.889999999999
2,1,29,673.050000000001
2,1,30,667.029999999999
2,1,28,701.25
2,1,31,695.83
2,1,32,665.560000000001
2,1,33,685.879999999999
2,1,34,703.17
2,2,21,529.42
2,1,36,656.209999999999
2,1,37,676.5
2,1,35,700.570000000002
2,2,22,544.039999999999
2,2,23,560.539999999999
2,1,39,698.199999999999
2,1,38,714.67
2,2,24,546.73
2,2,25,541.969999999999
2,2,26,549.379999999999
2,2,27,511.450000000001
2,2,29,508.779999999999
2,1,40,708.310000000001
2,2,30,539.370000000001
2,2,28,541.540000000001
2,2,31,551.57
2,3,21,342.790000000001
2,2,32,515.25
2,2,33,501.550000000001
2,3,22,341.01
2,2,34,561.120000000001
2,3,23,345.160000000002
2,2,36,507.769999999999
2,2,37,523.98
2,2,35,575.92
2,3,24,343.84
2,2,39,547.390000000001
2,3,29,306.129999999999
2,2,38,562.359999999999
2,3,25,353.59
2,3,26,345.359999999999
2,3,27,341.68
2,3,30,350.75
2,3,28,352.030000000001
2,3,32,329.799999999999
2,3,31,357.41
3,1,21,370.580000000002
2,3,33,333.33
2,2,40,526.379999999999
3,1,22,392.76
2,3,34,361.210000000001
3,1,23,371.309999999999
2,3,36,322.870000000001
2,3,37,332.949999999999
2,3,35,368.779999999999
2,3,39,343.969999999999
3,1,24,356.08
3,1,29,365.690000000001
2,3,38,354.059999999999
